chandra_ID,song_ID,energy_lower,energy_upper,net_counts,net_err,net_rate,cel_area,cel_bri,cel_bri_err,bgreg_counts,bgreg_err,counts,count_rate,area,bg_counts,bg_rate,bg_area,ra,dec,source_upper,source_lower,back_upper,back_lower,upper_err,lower_err
17262,19357.1,300,2000,-0.523692,0.213796,-0.000111139,239.819,-0.00218369,0.000891489,0.523692,0.213796,0,0,990.727,6,0.00127333,11350.9,50.23982315,40.80261421,1.866025404,0,2.652269919,0.000536139,2.830706597,0.52315467
17262,19357.2,2000,7000,1.0399,1.44354,0.00022069,239.819,0.00433618,0.00601927,0.960102,0.289482,2,0.000424445,990.727,11,0.00233445,11350.9,50.23982315,40.80261421,2.136105907,0,3.267807664,0.117425611,3.028723118,0.860565086
17261,112801.1,300,2000,0.164365,1.46509,3.29E-05,212.272,0.000774312,0.00690197,1.83564,0.382756,2,0.00039998,876.925,23,0.00459977,10987.6,50.01090619,41.16231141,2.113361295,0,4.443632172,0.57641785,3.258638729,1.269298442
17261,112801.2,2000,7000,0.483606,1.45637,9.67E-05,212.272,0.00227824,0.00686089,1.51639,0.347885,2,0.00039998,876.925,19,0.00379981,10987.6,50.01090619,41.16231141,2.113361295,0,4.021854118,0.391054514,3.177170431,1.136607604
4289,240282.1,300,2000,7.62693,9.43767,7.99E-05,218.395,0.0349226,0.0432137,75.3731,2.46365,83,0.000869868,902.222,936,0.00980959,11204,50.39073629,41.55824981,10.41020778,4.14724407,85.09791563,66.70570634,10.41438726,9.03087952
4289,240282.2,2000,7000,-6.25022,9.6734,-6.55E-05,218.395,-0.0286188,0.0271198,38.2502,1.75504,32,0.000335371,902.222,475,0.00497816,11204,50.39073629,41.55824981,5.400824171,1.051453009,45.49523418,32.08578693,7.775927031,6.350360266
17285,240282.3,300,2000,0.336173,2.07167,7.10E-05,218.612,0.00153776,0.00947645,3.66383,0.540202,4,0.000845009,903.118,46,0.0097176,11338.8,50.39057921,41.5580637,2.352321989,0.056689569,6.764740877,1.81617424,3.708328808,1.866125179
17285,240282.4,2000,7000,1.81406,2.29211,0.000383225,218.612,0.00829808,0.0104848,3.18594,0.503741,5,0.00105626,903.118,40,0.00845009,11338.8,50.39057921,41.5580637,2.469803011,0.013219828,6.169858542,1.47248048,3.632511836,1.756183608
3209,240282.5,300,2000,1.82325,9.2275,1.90E-05,218.612,0.00834009,0.0422094,77.1768,2.47927,79,0.000824838,903.118,969,0.0101173,11339.2,50.39057921,41.5580637,9.945684618,3.833957305,87.00424537,68.40585549,10.48480875,9.10871261
3209,240282.6,2000,7000,-4.07068,6.08541,-4.25E-05,218.612,-0.0186205,0.0278365,38.0707,1.74131,34,0.000354993,903.118,478,0.00499079,11339.2,50.39057921,41.5580637,5.567509237,1.140166461,45.30124238,31.92077525,7.775533961,6.346540385
